OBJECTID,GLOBAL_ID,NAME,TYPE_CODE,CLASS,UPPER_DESC,UPPER_VAL,UPPER_UOM,UPPER_CODE,LOWER_DESC,LOWER_VAL,LOWER_UOM,LOWER_CODE,LEVEL_CODE,CITY,STATE,COUNTRY,CONT_AGENT,COMM_NAME,SECTOR,ONSHORE,EXCLUSION,TIMESOFUSE,GMTOFFSET,DST_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
11,FD8BEE83-6D70-4578-B282-599F13A3C21F,A-530,A,,TNI,180,FL,STD,,0,FT,SFC,L,CHERRY POINT,NC,UNITED STATES,,,,1,0,"0700 - 2300, DAILY",-5,1,,0,0,1,0,0,0,0.136876755549793,1.68068528151636
12,EA0C4AC5-7BAB-4DD7-A35B-AE5997FE4136,A-561,A,,TI,4000,FT,MSL,,0,FT,SFC,L,FREDERICK,OK,UNITED STATES,,,,1,0,"SUNRISE - SUNSET, MON - FRI",-6,1,,0,0,1,0,0,0,0.0486111109635203,0.883333332000007
13,ACE82D56-B5EE-4D07-B72E-36B86ACE35E1,A-562B,A,,TI,10000,FT,MSL,,0,FT,SFC,L,ENID,OK,UNITED STATES,,,,1,0,"SUNRISE - SUNSET, MON - FRI",-6,1,,0,0,1,0,0,0,0.0541666667500067,0.93333333399994
14,9096CA54-BB24-4039-A8B7-76314749EEA8,A-632A,A,,TNI,180,FL,STD,,6000,FT,MSL,L,CORPUS CHRISTI,TX,UNITED STATES,,,,1,0,"SUNRISE - 2300, MON - FRI; SUNRISE - SUNSET, SAT; 1200 - SUNSET, SUN",-6,1,,0,0,1,0,0,0,0.64752223847654,4.590124688704
15,2B4D03C6-A399-4F2E-9222-D5FAEC36A0A3,A-632B,A,,TNI,180,FL,STD,,0,FT,SFC,L,CORPUS CHRISTI EXTENSION,TX,UNITED STATES,,,,1,0,"0700 - 2400, MON - SUN",-6,1,EXCLUDES CLASS C AND D AIRSPACE,0,0,1,0,0,0,0.414195123193622,2.79846999190205
16,06757359-BF28-4565-BFC6-7D19C8478F2B,A-632C,A,,TNI,180,FL,STD,,0,FT,SFC,L,CORPUS CHRISTI,TX,UNITED STATES,,,,1,0,"SUNRISE - 2400, MON - FRI",-6,1,,0,0,1,0,0,0,0.16210017562571,1.91949908181901
17,CC8B4E56-8157-45A8-9B8B-3382FE991922,A-632D,A,,TNI,11000,FT,MSL,,6000,FT,MSL,L,CORPUS CHRISTI,TX,UNITED STATES,,,,1,0,"SUNRISE - 2400, MON - FRI; 1400 - 2400, SUN; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.58535017592726,3.34292983659724
18,E4CE1CDC-03FD-4350-BF9A-A332946F86DE,A-632E,A,,TNI,9000,FT,MSL,,6000,FT,MSL,L,CORPUS CHRISTI,TX,UNITED STATES,,,,1,0,"SUNRISE - 2400, MON - FRI; 1400 - 2400, SUN; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.280425608475298,2.11905883208838
19,24931A2B-7378-41F1-8CED-44D145058B0D,A-632F,A,,TNI,180,FL,STD,,3000,FT,SFC,L,CORPUS CHRISTI,TX,UNITED STATES,,,,1,0,"0700 - 2400, MON - SAT",-6,1,,0,0,1,0,0,0,0.129881412861323,1.95048845382216
20,5842FDA5-08DD-46B8-83E0-938C7364A24D,A-633B,A,,TI,4000,FT,MSL,,0,FT,SFC,L,LAUGHLIN AFB,TX,UNITED STATES,,,,1,0,"SUNRISE - SUNSET, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0489477473834086,0.786777021901575
21,6114F420-A4E7-41CA-9307-BFE00E4BABE2,A-638,A,,TI,3500,FT,MSL,,0,FT,SFC,L,SEGUIN,TX,UNITED STATES,,,,1,0,"SUNRISE - SUNSET, MON - FRI; SAT - SUN, BY NOTAM",-6,1,,0,0,1,0,0,0,0.0400599076847357,0.825489106211496
22,AA58840D-D7C1-444C-B2C0-694B5B1FD3FD,A-680,A,,TI,3000,FT,MSL,,0,FT,SFC,L,OLF COUPEVILLE,WA,UNITED STATES,,,,1,0,"APR - OCT, 1000 - 0130, MON - FRI; %NOV - MAR, 1000 - 2359, MON - FRI; OTHER TIMES BY NOTAM",-8,1,,1,0,1,0,0,0,0.0117261419786701,0.395551390320438
23,E15F28A1-9DD3-4344-B93F-48EC581E07AF,A-682,A,,TI,6000,FT,MSL,OTHER,0,FT,SFC,L,TRAVIS AFB,CA,UNITED STATES,,,,1,0,"0800 - 2100, MON - FRI",-8,1,,0,0,1,0,1,0,0.0639393045225916,1.3541628809509
24,E4F0D08E-1F9C-4F98-A6D0-CD1B94554584,A-682,A,,TI,3000,FT,MSL,OTHER,0,FT,SFC,L,TRAVIS AFB,CA,UNITED STATES,,,,1,0,"0800 - 2100, MON - FRI",-8,1,,0,0,1,0,1,0,0.0497548693915633,1.20134120123358
25,0580F303-320B-41BD-B66E-01B08DD48ED5,A-683,A,,TI,4500,FT,MSL,,0,FT,SFC,L,WICHITA MCCONNELL AFB,KS,UNITED STATES,,,,1,0,"0800 - 1900, MON - FRI",-6,1,"EXCLUDES CLASS C, D, AND E SFC AIRSPACE",0,0,1,0,0,0,0.0400000000499858,0.833333334000145
26,29D93217-2F4F-4AC9-8E55-5D1624654C2D,A-685,A,,TI,700,FT,SFC,,0,FT,SFC,L,DAHLONEGA,GA,UNITED STATES,,,,1,0,"INTERMITTENT, SUNRISE - SUNSET, DAILY",-5,1,,0,0,1,0,0,0,0.165677937159899,1.45282939538105
27,576BA82F-96CF-4759-A1ED-CBC03491D06F,ABEL EAST MOA,MOA,,TNI,13000,FT,MSL,,5000,FT,MSL,L,,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,INTERMITTENT BY NOTAM,-8,1,,0,0,1,0,0,0,0.102361111203891,1.36846649181765
28,CD8C8A87-8C01-4782-92B4-CF6826E5EFF7,ADA EAST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,KS,UNITED STATES,"FAA, KANSAS CITY ARTCC",,,1,0,"SUNRISE - SUNSET, MON - FRI; OCNL ON WEEKENDS BY NOTAM",-6,1,,0,0,1,0,0,0,0.401926197381272,2.51845951388902
29,7D95340D-625A-4D7E-B3BD-182A67E086F0,ADA WEST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,KS,UNITED STATES,"FAA, KANSAS CITY ARTCC",,,1,0,"SUNRISE - SUNSET, MON - FRI; OCNL ON WEEKENDS BY NOTAM",-6,1,,0,0,1,0,0,0,0.380823288591046,2.5706256522214
30,B264CC71-C64A-460E-9373-49F3539815BF,ADIRONDACK A MOA,MOA,,TNI,180,FL,STD,,6000,FT,MSL,L,,NY,UNITED STATES,"FAA, BOSTON ARTCC",,,1,0,"SEP 1 - APR 30, 0800 - 2200, MON - FRI; OTHER TIMES BY NOTAM; %MAY 1 - AUG 31, 0800 - 1700, MON - FRI; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.0141666666497713,0.683795938974424
31,EC42E536-4320-4E70-B654-A9190A5E6420,ANNE HIGH MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,AR,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"SUNRISE - SUNSET, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.226909721973925,1.99865569275756
32,45589657-1851-4A2E-B9EA-CCDE6B2D68A1,AVON EAST MOA,MOA,,TNI,14000,FT,MSL,,500,FT,SFC,L,,FL,UNITED STATES,"FAA, MIAMI ARTCC",,,1,0,"INTERMITTENT, SUNRISE - SUNSET, MON - FRI; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.01189583333462,0.51999145531508
33,E28FBE96-453A-4C6D-B8CA-89BF00AC5B6D,AVON EAST HIGH MOA,MOA,,TNI,180,FL,STD,,14000,FT,MSL,L,,FL,UNITED STATES,"FAA, MIAMI ARTCC",,,1,0,"INTERMITTENT, NORMALLY DAYLIGHT HRS, MON - FRI; O/T BY NOTAM",-5,1,,0,0,1,0,0,0,0.01189583333462,0.51999145531508
34,1CD69943-07E1-4F65-9832-953466B72A89,BAGDAD 1 MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,AZ,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0600 - 1900, MON - FRI; OTHER TIMES BY NOTAM",-7,0,,0,0,1,0,0,0,0.359414544226638,2.82975317283198
35,F1939D84-9240-42C9-9401-623E64EA7E67,BAKERSFIELD MOA,MOA,,TNI,180,FL,STD,,2000,FT,SFC,L,,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC CENTER",,,1,0,INTERMITTENT BY NOTAM,-8,1,,0,0,1,0,0,0,0.102499999783959,1.99621856427193
36,58CC70FA-332D-4553-BC59-E2726DA025A5,BARSTOW MOA,MOA,,TNI,180,FL,STD,,200,FT,SFC,L,,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2200, MON - FRI; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0550868055238425,1.30022679292847
37,DD00C497-9B7A-4128-BF13-0678C0129977,BEAK A MOA,MOA,,TNI,180,FL,STD,,12500,FT,MSL,L,,NM,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0600 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.229999999658503,2.22313621648471
38,841BEC50-E6B7-465A-9B8B-5B46A70E31A1,BEAK B MOA,MOA,,TNI,180,FL,STD,,12500,FT,MSL,L,,NM,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0600 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.201666666574738,2.04876183407518
39,61DE3791-8DB6-4D52-8302-4ED50F32EC0A,BEAK C MOA,MOA,,TNI,180,FL,STD,,12500,FT,MSL,L,,NM,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0600 - 1800, MON - FRI; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.210937499887905,1.99144359735161
40,FAA82FF1-2349-4584-9FEE-D78B78520F66,MOORE MOA,MOA,,TI,8000,FT,MSL,,500,FT,SFC,L,,GA,UNITED STATES,"FAA, ATLANTA TRACON",,,1,0,"0700 - 2000, MON - FRI; OCCASIONALLY SAT - SUN, BY NOTAM",-5,1,,0,0,1,0,0,0,0.0354486399824054,0.784683226096045
41,45D82778-2DD0-45C6-81D3-3795F2509593,BIRMINGHAM MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,AL,UNITED STATES,"FAA, ATLANTA ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.384518711469127,2.6261685605029
42,E82D14D6-827B-475B-8164-EF731AB58E1A,BRADY HIGH MOA,MOA,,TNI,180,FL,STD,,6000,FT,MSL,L,,TX,UNITED STATES,"FAA, HOUSTON ARTCC",,,1,0,"SUNRISE - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.313624614201444,2.55944033718906
43,04CE1664-94FB-4AA2-A26D-30768BF947F8,BRADY LOW MOA,MOA,,TNI,6000,FT,MSL,,500,FT,SFC,L,,TX,UNITED STATES,"FAA, HOUSTON ARTCC",,,1,0,"SUNRISE - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.279693935623072,3.08593363019201
44,87A2CA10-A7F8-4F7E-89B9-C0F54C8AA390,BRADY LOW MOA,MOA,,TNI,6000,FT,MSL,ANI,1500,FT,SFC,L,,TX,UNITED STATES,"FAA, HOUSTON ARTCC",,EXCLUSION1 EXCLUDES SFC TO 1500 FT AGL,1,1,"SUNRISE - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,EXCLUDES SFC TO 1500 FT AGL,0,0,1,0,0,0,0.0194536493229407,0.548437714997964
45,1D11845B-DC88-4BB2-BFF4-357CC499291B,BRADY LOW MOA,MOA,,TNI,6000,FT,MSL,ANI,1500,FT,SFC,L,,TX,UNITED STATES,"FAA, HOUSTON ARTCC",,EXCLUSION2 EXCLUDES SFC TO 1500 FT AGL,1,1,"SUNRISE - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,EXCLUDES SFC TO 1500 FT AGL,0,0,1,0,0,0,0.014080655754924,0.460815496598733
46,ECE6F234-3EC8-4E22-8D30-ACC53F76E77C,BRADY NORTH MOA,MOA,,TNI,180,FL,STD,,3600,FT,MSL,L,,TX,UNITED STATES,"FAA, HOUSTON ARTCC",,,1,0,"SUNRISE - 2200, SUN - FRI; O/T BY NOTAM",-6,1,,0,0,1,0,0,0,0.0511952933713928,2.46235694630426
47,D096CA42-01F2-49FE-9D20-55DFA0A3A208,BRISTOL MOA,MOA,,TNI,180,FL,STD,,5000,FT,MSL,L,,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0700 - 1500, MON - FRI; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.135696373691644,2.25841669796085
48,F514B826-88E1-4FB8-8951-E0A4A35AB2DD,BRONCO 3 MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2000 MOUNTAIN TIME, MON - FRI; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.576811381050675,3.27589136961908
49,B765A96D-A53C-47CB-A80E-5912370CDD92,BRONCO 4 MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2000 MOUNTAIN TIME, MON - FRI; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.581892554755996,3.169184475559
50,FEE4AD7D-4693-4BEF-8EE9-10A675F8B1F4,BROWNWOOD 1 EAST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.186553047911275,1.79710921910538
51,59EBDDE2-EB37-4D01-8B8C-D01EC242EA4C,BROWNWOOD 1 WEST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.181631674029632,1.74677131772792
52,9E9641C7-6941-48E0-87AD-8C7673818B06,BROWNWOOD 2 EAST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.148929012368853,1.56868080580363
53,DA5BCA3B-49F4-4929-B3BA-96762DCB42E2,BROWNWOOD 2 WEST MOA,MOA,,TNI,180,FL,STD,,7000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.192947222074054,1.77512339673876
54,42C1B602-A176-4D70-ADFC-B767E779FAFD,BROWNWOOD 3 MOA,MOA,,TNI,180,FL,STD,,13000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.227494213326054,2.03545628172181
55,7641316D-5F42-4EB8-A8C6-4EB64CB2EE28,BROWNWOOD 4 MOA,MOA,,TNI,180,FL,STD,,13000,FT,MSL,L,,TX,UNITED STATES,"FAA, FORT WORTH ARTCC",,,1,0,"0700 - 2200, DAILY; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.104548611086557,1.39463668323613
56,ED84250E-E5E3-4386-88C6-EC0A35C52052,BRUSH CREEK MOA,MOA,,TNI,5000,FT,MSL,,100,FT,SFC,L,,OH,UNITED STATES,"FAA, INDIANAPOLIS ARTCC",,,1,0,"0800 - 2200, MON - SAT",-5,1,,0,0,1,0,0,0,0.257692129792304,2.30863616927067
57,489FF6AD-B15F-40FA-9E1C-75916533C1C9,BUCKEYE MOA,MOA,,TNI,180,FL,STD,,5000,FT,MSL,L,,OH,UNITED STATES,"FAA, INDIANAPOLIS ARTCC",,,1,0,"0800 - 2200, MON - FRI; 0800 - 1600, SAT - SUN; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.590234799974041,3.05617575839868
58,B77F4144-EE85-405F-B726-DB3D633B1A75,BUCKHORN MOA,MOA,,TNI,180,FL,STD,,200,FT,SFC,L,,CA,UNITED STATES,"FAA, LOS ANGELES ARTCC",,,1,0,"0600 - 2200, MON - FRI; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0197384258312923,1.43355167479126
59,23EB3076-A29C-46EE-A3C4-582C63B890D6,BULLDOG B MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,GA,UNITED STATES,"FAA, ATLANTA ARTCC",,,1,0,"INTERMITTENT, 0700 - 2400, DAILY; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.554633873229932,2.86740804604193
60,0B99E813-A8F1-49B6-9E7D-EC0F095A1007,BULLDOG E MOA,MOA,,TNI,10000,FT,MSL,,5000,FT,MSL,L,,GA,UNITED STATES,ATLANTA ARTCC,,,1,0,"INTERMITTENT, 0700 - 2400, DAILY; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.07485235339459,1.39226670640624
61,8C1070D7-1819-456B-9EC9-5E218B05B5EC,BULLSEYE 1 MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,MS,UNITED STATES,HOUSTON ARTCC,,,1,0,"0830 - 1730, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0940932870778397,1.81594295121438
62,9B43BCFB-9F1C-4FE3-B942-CA4A723E56E8,BULLSEYE 2 MOA,MOA,,TNI,180,FL,STD,,5000,FT,MSL,L,,MS,UNITED STATES,HOUSTON ARTCC,,,1,0,"0830 - 1730, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0627789351526644,0.995323341298126
63,63E3BF31-913E-47B6-9332-5A0BED5E625E,BULLSEYE 3 MOA,MOA,,TNI,180,FL,STD,,11000,FT,MSL,L,,MS,UNITED STATES,HOUSTON ARTCC,,,1,0,"0830 - 1730, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0882974535584253,1.51717460598576
64,8C8CA63B-F016-4B42-A22F-4F38BB47B4B9,CAMPBELL 1 MOA,MOA,,TI,10000,FT,MSL,,500,FT,SFC,L,,KY,UNITED STATES,"US ARMY, FORT CAMPBELL ARMY RADAR APPROACH CONTROL (ARAC)",,,1,0,"NORMALLY, 0700 - 2000, MON - SUN",-6,1,,0,0,1,0,0,0,0.13695416686096,1.59155298728204
65,F7A95950-D8B5-488B-BCA7-43213C01C823,CANNON A MOA,MOA,,TNI,180,FL,STD,,300,FT,SFC,L,,MO,UNITED STATES,"FAA, KANSAS CITY ARTCC",,,1,0,"0900 - 1600, TUE - SAT; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0811674383080572,1.19089228140744
66,729A3E99-5A53-46DF-9489-DE03C2BC4EE7,CANNON B MOA,MOA,,TNI,180,FL,STD,,100,FT,SFC,L,,MO,UNITED STATES,"FAA, KANSAS CITY ARTCC",,,1,0,"0900 - 1600, TUE - SAT; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0054444444267574,0.301166253643561
67,79A2E595-2833-49DE-9381-A2749703A920,CARSON MOA,MOA,,TNI,180,FL,STD,,500,FT,SFC,L,,NV,UNITED STATES,"FAA, OAKLAND ARTCC",,,1,0,"0715 - 2330, DAILY; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0473032405784579,1.52518362926756
68,BB47C1FA-0BDE-40A5-BF3A-91729EFA4446,CARTHAGE EAST MOA,MOA,,TNI,180,FL,STD,,100,FT,SFC,L,,NY,UNITED STATES,"FAA, BOSTON ARTCC",,,1,0,"SEP 1 - APR 30, 0800 - 2200, MON - FRI; OTHER TIMES BY NOTAM %MAY 1 - AUG 31, 0800 - 1700, MON - FRI; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.115365548081172,1.48250593262771
69,F53451CB-FC59-4A7A-8E6E-0B68620920CD,CARTHAGE WEST MOA,MOA,,TNI,180,FL,STD,,6000,FT,MSL,L,,NY,UNITED STATES,"FAA, BOSTON ARTCC",,,1,0,"SEP 1 - APR 30, 0800 - 2200, MON - FRI; OTHER TIMES BY NOTAM %MAY 1 - AUG 31, 0800 - 1700, MON - FRI; OTHER TIMES BY NOTAM",-5,1,,0,0,1,0,0,0,0.0584894291484943,1.20962805888715
70,1D14AD1D-EDE9-47B3-86A4-A3FC51D9E2E2,CATO MOA,MOA,,TNI,180,FL,STD,,13500,FT,MSL,L,,NM,UNITED STATES,"FAA, ALBUQUERQUE ARTCC",,,1,0,"0800 - 2200, MON - SAT; OTHER TIMES BY NOTAM",-7,1,,0,0,1,0,0,0,0.8888842593351,4.14090551027127
71,003B5CA4-A1A6-4F94-8981-308F127303AF,CHINA MOA,MOA,,TNI,180,FL,STD,,3000,FT,SFC,L,,CA,UNITED STATES,"FAA, OAKLAND ARTCC",,,1,0,"0800 - SUNSET, DAILY",-8,1,,0,0,1,0,0,0,0.225031623941504,1.91917558405798
72,827D738E-00B2-4AF1-A277-1EB808F75FF5,CHINOOK A MOA,MOA,,TI,5000,FT,MSL,,300,FT,MSL,L,,WA,UNITED STATES,"U. S. NAVY, WHIDBEY ISLAND NAVAL AIR STATION APPROACH CONTROL",,,1,0,"INTERMITTENT BY NOTAM 2 HOURS IN ADVANCE, SUNRISE - SUNSET",-8,1,,1,0,1,0,0,0,0.0113320624718654,0.556892034683475
73,4E21A161-BD47-485C-BCEF-4BFCC2F4F26A,CHINOOK B MOA,MOA,,TI,5000,FT,MSL,,300,FT,MSL,L,,WA,UNITED STATES,"U. S. NAVY, WHIDBEY ISLAND NAVAL AIR STATION APPROACH CONTROL",,,1,0,"INTERMITTENT BY NOTAM 2 HOURS IN ADVANCE, SUNRISE - SUNSET",-8,1,,1,0,1,0,0,0,0.0138819242556565,0.875434742874659
74,53957566-2D00-438A-8543-6AE00973413F,CHURCHILL HIGH MOA,MOA,,TNI,180,FL,STD,,9000,FT,MSL,L,,NV,UNITED STATES,"FAA, OAKLAND ARTCC",,,1,0,"0715 - 2245, MON - FRI; 0800 - 1800, SAT; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0224439175158295,0.768595023337874
75,C80501A5-ED68-4975-835E-8214E47F4DA1,CHURCHILL LOW MOA,MOA,,TI,9000,FT,MSL,,500,FT,SFC,L,,NV,UNITED STATES,"FAA, OAKLAND ARTCC",,,1,0,"0715 - 2245, MON - FRI; 0800 - 1800, SAT; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.025217647313184,0.873127764721108
76,30B74F48-8B17-4F7E-8D9D-99D43B281E0E,CLAIBORNE A MOA,MOA,,TNI,10000,FT,MSL,,100,FT,SFC,L,,LA,UNITED STATES,"U.S. ARMY, MAKS APPROACH CONTROL",,,1,0,"0730 - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0258891349517398,0.795210985096439
77,7390E97F-7C68-4A4A-AF61-6E5AC146E3CF,CLAIBORNE B MOA,MOA,,TNI,180,FL,STD,,10000,FT,MSL,L,,LA,UNITED STATES,"U.S. ARMY, MAKS APPROACH CONTROL",,,1,0,"0730 - 2200, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0258891349517398,0.795210985096439
