county,state,counts
montgomery,kansas,7
hillsdale,michigan,7
shelby,kentucky,7
park,wyoming,7
adams,mississippi,7
bell,kentucky,7
bayfield,wisconsin,7
shelby,illinois,7
morgan,missouri,7
saline,missouri,7
alexander,north carolina,7
harvey,kansas,7
jefferson,pennsylvania,7
morgan,alabama,7
shawano,wisconsin,7
seminole,oklahoma,7
pulaski,virginia,6
madison,ohio,6
woodward,oklahoma,6
wood,texas,6
currituck,north carolina,6
ogle,illinois,6
crawford,iowa,6
carroll,iowa,6
wright,missouri,6
transylvania,north carolina,6
accomack,virginia,6
dukes,massachusetts,6
duchesne,utah,6
adams,indiana,6
randolph,west virginia,6
tazewell,virginia,6
los alamos,new mexico,6
district of columbia,"washington, d.c.",6
loudon,tennessee,6
adams,washington,6
alger,michigan,6
yazoo,mississippi,6
osceola,michigan,6
palo pinto,texas,6
thomas,kansas,6
yadkin,north carolina,6
lyon,kentucky,6
todd,south dakota,6
rabun,georgia,6
winston,alabama,6
angelina,texas,6
wyoming,new york,6
panola,texas,6
marion,mississippi,6
nome,alaska,6
winona,minnesota,6
morehouse,louisiana,6
walker,texas,6
mercer,kentucky,6
bourbon,kentucky,6
choctaw,oklahoma,6
polk,tennessee,6
bradford,florida,6
ware,georgia,6
morton,north dakota,6
morrison,minnesota,6
warren,missouri,6
cheboygan,michigan,6
brown,nebraska,6
pontotoc,mississippi,6
brown,ohio,6
bureau,illinois,6
platte,nebraska,6
washington,georgia,6
pike,mississippi,6
waupaca,wisconsin,6
camden,georgia,6
elmore,idaho,6
campbell,kentucky,6
pittsburg,oklahoma,6
carbon,utah,6
white,georgia,6
clark,kentucky,6
pasquotank,north carolina,6
pratt,kansas,6
cooke,texas,6
columbus,north carolina,6
pawnee,oklahoma,6
presque isle,michigan,6
pearl river,mississippi,6
beauregard,louisiana,6
coleman,texas,6
matagorda,texas,6
valdez cordova,alaska,6
becker,minnesota,6
valencia,new mexico,6
coffee,alabama,6
bosque,texas,6
mcculloch,texas,6
benewah,idaho,6
williamsburg,south carolina,6
benzie,michigan,6
new kent,virginia,6
clinton,pennsylvania,6
perry,missouri,6
vilas,wisconsin,6
clay,iowa,6
medina,texas,6
white pine,nevada,6
talladega,alabama,6
owyhee,idaho,6
kent,maryland,6
ripley,indiana,6
franklin,vermont,6
stone,missouri,6
kershaw,south carolina,6
halifax,north carolina,6
hall,nebraska,6
hamilton,iowa,6
lewis,idaho,6
guernsey,ohio,6
hancock,mississippi,6
haralson,georgia,6
hardin,texas,6
saint charles,louisiana,6
harper,kansas,6
sumner,kansas,6
runnels,texas,6
shelby,texas,6
johnson,kentucky,6
rockingham,virginia,6
langlade,wisconsin,6
stark,north dakota,6
gallatin,illinois,6
gloucester,virginia,6
roberts,south dakota,6
grady,oklahoma,6
grand,colorado,6
freestone,texas,6
gray,texas,6
roscommon,michigan,6
green,wisconsin,6
greene,illinois,6
stokes,north carolina,6
stone,arkansas,6
saint clair,alabama,6
garrard,kentucky,6
hopkins,texas,6
jackson,alabama,6
saline,illinois,6
iron,missouri,6
iberia,louisiana,6
jefferson,illinois,6
wythe,virginia,5
moffat,colorado,5
calumet,wisconsin,5
chenango,new york,5
montague,texas,5
polk,arkansas,5
poinsett,arkansas,5
iron,michigan,5
greenbrier,west virginia,5
amador,california,5
kodiak island,alaska,5
pamlico,north carolina,5
carbon,wyoming,5
knox,kentucky,5
wyandot,ohio,5
cherokee,alabama,5
oregon,missouri,5
huron,michigan,5
pitkin,colorado,5
washington,missouri,5
grenada,mississippi,5
sheridan,wyoming,5
barren,kentucky,5
cherokee,oklahoma,5
chester,south carolina,5
grant,oregon,5
codington,south dakota,5
jackson,florida,5
yukon koyukuk,alaska,5
van wert,ohio,5
gillespie,texas,5
mcminn,tennessee,5
cleburne,arkansas,5
vermilion,louisiana,5
victoria,texas,5
adair,missouri,5
isle of wight,virginia,5
wakulla,florida,5
gooding,idaho,5
meigs,ohio,5
somervell,texas,5
menard,illinois,5
clark,illinois,5
iroquois,illinois,5
yell,arkansas,5
cibola,new mexico,5
otero,colorado,5
grant,kentucky,5
snyder,pennsylvania,5
calhoun,iowa,5
caddo,oklahoma,5
screven,georgia,5
harlan,kentucky,5
seward,nebraska,5
holmes,florida,5
boone,iowa,5
bond,illinois,5
perry,pennsylvania,5
perry,ohio,5
kalkaska,michigan,5
hardin,tennessee,5
hoke,north carolina,5
saguache,colorado,5
perry,arkansas,5
newton,arkansas,5
ontonagon,michigan,5
ogemaw,michigan,5
harney,oregon,5
scotland,north carolina,5
hickory,missouri,5
henry,tennessee,5
pend oreille,washington,5
hart,georgia,5
obrien,iowa,5
hempstead,arkansas,5
northumberland,virginia,5
bartholomew,indiana,5
nantucket,massachusetts,5
schoharie,new york,5
brantley,georgia,5
murray,georgia,5
butte,idaho,5
montgomery,north carolina,5
kimble,texas,5
shelby,indiana,5
kewaunee,wisconsin,5
waynesboro city,virginia,5
hubbard,minnesota,5
buchanan,missouri,5
hale,alabama,5
howard,texas,5
saunders,nebraska,5
hood,texas,5
brown,indiana,5
hamilton,new york,5
morgan,west virginia,5
mccurtain,oklahoma,5
hamilton,texas,5
phillips,montana,5
hancock,illinois,5
kendall,texas,5
moultrie,illinois,5
avery,north carolina,5
mower,minnesota,5
minidoka,idaho,5
jackson,indiana,5
richland,illinois,5
presidio,texas,5
taylor,florida,5
gage,nebraska,5
gadsden,florida,5
lawrence,missouri,5
prince george,virginia,5
colleton,south carolina,5
dunklin,missouri,5
franklin,georgia,5
crawford,michigan,5
crawford,kansas,5
marion,alabama,5
freeborn,minnesota,5
uvalde,texas,5
decatur,indiana,5
limestone,texas,5
lewis,new york,5
ritchie,west virginia,5
delaware,oklahoma,5
union,georgia,5
fayette,texas,5
marion,missouri,5
marion,iowa,5
fillmore,nebraska,5
dougherty,georgia,5
dearborn,indiana,5
red river,texas,5
latimer,oklahoma,5
garza,texas,5
franklin,mississippi,5
fayette,illinois,5
coffee,georgia,5
surry,north carolina,5
de kalb,indiana,5
effingham,illinois,5
louisa,virginia,5
randolph,indiana,5
roane,tennessee,5
lauderdale,tennessee,5
lincoln,kentucky,5
rains,texas,5
franklin,kansas,5
stephens,texas,5
putnam,tennessee,5
lawrence,tennessee,5
essex,vermont,5
ford,illinois,4
sabine,louisiana,4
sharp,arkansas,4
ford,kansas,4
archuleta,colorado,4
daviess,indiana,4
dawson,nebraska,4
madison,georgia,4
jefferson,idaho,4
muhlenberg,kentucky,4
braxton,west virginia,4
gates,north carolina,4
forest,wisconsin,4
darke,ohio,4
reeves,texas,4
moody,south dakota,4
ripley,missouri,4
andrew,missouri,4
panola,mississippi,4
hale,texas,4
morgan,colorado,4
morgan,georgia,4
trinity,texas,4
jeff davis,texas,4
hardee,florida,4
quay,new mexico,4
brooke,west virginia,4
real,texas,4
franklin,florida,4
towns,georgia,4
bristol,rhode island,4
fountain,indiana,4
lincoln,nevada,4
white,tennessee,4
blaine,montana,4
natchitoches,louisiana,4
autauga,alabama,4
terry,texas,4
searcy,arkansas,4
douglas,illinois,4
peach,georgia,4
woodford,kentucky,4
beadle,south dakota,4
lincoln,colorado,4
surry,virginia,4
jo daviess,illinois,4
jefferson,montana,4
taylor,kentucky,4
seward,kansas,4
dickinson,kansas,4
jerome,idaho,4
barnwell,south carolina,4
winneshiek,iowa,4
jefferson davis,louisiana,4
barbour,alabama,4
randolph,missouri,4
oconee,georgia,4
dillon,south carolina,4
schuyler,illinois,4
randolph,alabama,4
atchison,missouri,4
beaverhead,montana,4
johnson,tennessee,4
kane,utah,4
dubois,indiana,4
richmond,north carolina,4
nelson,virginia,4
kandiyohi,minnesota,4
hardin,ohio,4
blanco,texas,4
saint bernard,louisiana,4
perry,indiana,4
bladen,north carolina,4
juab,utah,4
summers,west virginia,4
ashland,wisconsin,4
douglas,minnesota,4
thomas,georgia,4
jones,north carolina,4
jones,iowa,4
assumption,louisiana,4
atascosa,texas,4
harrison,iowa,4
harrison,ohio,4
pike,illinois,4
powhatan,virginia,4
jackson,louisiana,4
union,ohio,4
claiborne,tennessee,4
grand isle,vermont,4
linn,missouri,4
marshall,oklahoma,4
lafayette,mississippi,4
upshur,texas,4
roosevelt,new mexico,4
labette,kansas,4
alcorn,mississippi,4
cherokee,texas,4
cherokee,north carolina,4
colorado,texas,4
marshall,iowa,4
lawrence,south dakota,4
marshall,illinois,4
grayson,kentucky,4
milam,texas,4
polk,georgia,4
smith,tennessee,4
miller,arkansas,4
ottawa,kansas,4
miller,missouri,4
clare,michigan,4
tama,iowa,4
warren,tennessee,4
clinton,illinois,4
geary,kansas,4
mcclain,oklahoma,4
mcduffie,georgia,4
maverick,texas,4
powell,kentucky,4
mcintosh,oklahoma,4
escambia,alabama,4
van buren,arkansas,4
lancaster,virginia,4
lampasas,texas,4
mcleod,minnesota,4
grainger,tennessee,4
renville,minnesota,4
colbert,alabama,4
ellis,kansas,4
gallia,ohio,4
spencer,indiana,4
glynn,georgia,4
mason,kentucky,4
adair,oklahoma,4
walker,georgia,4
colonial heights city,virginia,4
san juan,utah,4
elbert,colorado,4
mineral,montana,4
putnam,georgia,4
greenwood,kansas,4
washington,louisiana,4
marion,kansas,4
monroe,illinois,4
piscataquis,maine,4
sherman,kansas,4
covington city,virginia,4
roane,west virginia,4
guadalupe,new mexico,4
jasper,illinois,4
franklin city,virginia,4
carter,missouri,4
kingfisher,oklahoma,4
montgomery,arkansas,4
montgomery,illinois,4
rusk,texas,4
king george,virginia,4
montgomery,kentucky,4
wayne,kentucky,4
crockett,tennessee,4
cumberland,illinois,4
burnett,wisconsin,4
greene,virginia,4
knott,kentucky,4
kossuth,iowa,4
greene,arkansas,4
cooper,missouri,4
mineral,west virginia,4
pocahontas,iowa,4
rhea,tennessee,4
otoe,nebraska,4
missaukee,michigan,4
mississippi,arkansas,4
chambers,alabama,4
lincoln,oklahoma,4
montgomery,iowa,4
tattnall,georgia,4
pulaski,missouri,4
greene,indiana,4
sioux,iowa,4
live oak,texas,4
tate,mississippi,4
covington,alabama,4
page,iowa,3
san saba,texas,3
wrangell,alaska,3
ozark,missouri,3
san miguel,colorado,3
sunflower,mississippi,3
ray,missouri,3
suwannee,florida,3
palo alto,iowa,3
york,nebraska,3
san jacinto,texas,3
webster,nebraska,3
parke,indiana,3
pulaski,illinois,3
rush,indiana,3
washington,texas,3
simpson,kentucky,3
rosebud,montana,3
washington,indiana,3
washington,illinois,3
union,kentucky,3
wasatch,utah,3
stillwater,montana,3
pulaski,kentucky,3
pointe coupee,louisiana,3
skamania,washington,3
patrick,virginia,3
warren,north carolina,3
union,tennessee,3
upshur,west virginia,3
stewart,tennessee,3
pondera,montana,3
southeast fairbanks,alaska,3
vermillion,indiana,3
pottawatomie,kansas,3
prentiss,mississippi,3
rockbridge,virginia,3
powell,montana,3
tyler,west virginia,3
rusk,wisconsin,3
turner,georgia,3
weakley,tennessee,3
richland,montana,3
paulding,ohio,3
sumter,georgia,3
winkler,texas,3
scurry,texas,3
saint clair,missouri,3
pecos,texas,3
wilson,kansas,3
texas,oklahoma,3
ramsey,north dakota,3
richland,wisconsin,3
wilkin,minnesota,3
tift,georgia,3
radford,virginia,3
shannon,south dakota,3
wexford,michigan,3
wetzel,west virginia,3
torrance,new mexico,3
rio blanco,colorado,3
pierce,georgia,3
troup,georgia,3
putnam,ohio,3
pike,georgia,3
swain,north carolina,3
abbeville,south carolina,3
jackson,oklahoma,3
george,mississippi,3
houston,minnesota,3
gallatin,kentucky,3
houghton,michigan,3
bryan,georgia,3
hot spring,arkansas,3
garland,arkansas,3
garrett,maryland,3
casey,kentucky,3
bath,kentucky,3
giles,tennessee,3
meade,kentucky,3
cass,iowa,3
martinsville city,virginia,3
lake,michigan,3
cass,nebraska,3
martin,minnesota,3
gladwin,michigan,3
bee,texas,3
lander,nevada,3
glascock,georgia,3
clay,minnesota,3
buffalo,wisconsin,3
jackson,texas,3
franklin,louisiana,3
burleson,texas,3
mills,iowa,3
forest,pennsylvania,3
millard,utah,3
metcalfe,kentucky,3
kit carson,colorado,3
burke,georgia,3
franklin,indiana,3
meriwether,georgia,3
mercer,north dakota,3
meade,south dakota,3
clay,tennessee,3
clay,south dakota,3
baldwin,georgia,3
menominee,michigan,3
houston,tennessee,3
clay,nebraska,3
meeker,minnesota,3
fulton,kentucky,3
lac qui parle,minnesota,3
gonzales,texas,3
marquette,wisconsin,3
mississippi,missouri,3
charles mix,south dakota,3
logan,west virginia,3
logan,oklahoma,3
logan,north dakota,3
logan,kentucky,3
bolivar,mississippi,3
logan,colorado,3
haywood,north carolina,3
logan,arkansas,3
grundy,iowa,3
chicot,arkansas,3
chippewa,michigan,3
grundy,missouri,3
gulf,florida,3
lincoln,west virginia,3
habersham,georgia,3
hall,texas,3
hamilton,florida,3
hampton,south carolina,3
hancock,kentucky,3
chattooga,georgia,3
louisa,iowa,3
blackford,indiana,3
hidalgo,new mexico,3
madison,montana,3
marion,kentucky,3
benton,indiana,3
clarendon,south carolina,3
marion,arkansas,3
owen,indiana,3
mahaska,iowa,3
magoffin,kentucky,3
madison,virginia,3
henry,ohio,3
berrien,georgia,3
leflore,mississippi,3
grayson,virginia,3
bertie,north carolina,3
madison,arkansas,3
lawrence,arkansas,3
green,kentucky,3
lawrence,illinois,3
henry,alabama,3
lee,texas,3
greensville,virginia,3
floyd,kentucky,3
middlesex,virginia,3
johnson,illinois,3
converse,wyoming,3
jefferson,indiana,3
nodaway,missouri,3
jackson,arkansas,3
caroline,virginia,3
alleghany,virginia,3
allen,kansas,3
cameron,louisiana,3
newton,texas,3
de baca,new mexico,3
jennings,indiana,3
newberry,south carolina,3
new madrid,missouri,3
itawamba,mississippi,3
callahan,texas,3
johnson,georgia,3
nemaha,kansas,3
coosa,alabama,3
deer lodge,montana,3
johnson,wyoming,3
conway,arkansas,3
calhoun,florida,3
nolan,texas,3
norman,minnesota,3
jackson,iowa,3
jefferson,arkansas,3
overton,tennessee,3
ouachita,arkansas,3
oscoda,michigan,3
jasper,texas,3
crittenden,arkansas,3
adair,kentucky,3
custer,montana,3
campbell,virginia,3
custer,oklahoma,3
oconto,wisconsin,3
northampton,north carolina,3
obion,tennessee,3
dade,georgia,3
alcona,michigan,3
crawford,illinois,3
nottoway,virginia,3
camp,texas,3
dakota,nebraska,3
dale,alabama,3
allamakee,iowa,3
murray,oklahoma,3
cherokee,kansas,3
fayette,tennessee,3
carroll,missouri,3
aransas,texas,3
archer,texas,3
east feliciana,louisiana,3
butler,missouri,3
caldwell,louisiana,3
elk,pennsylvania,3
hyde,north carolina,3
morgan,kentucky,3
butts,georgia,3
montgomery,missouri,3
carroll,ohio,3
fayette,iowa,3
montgomery,indiana,3
clinton,missouri,3
monona,iowa,3
duval,texas,3
humboldt,iowa,3
humphreys,tennessee,3
dewitt,illinois,3
fergus,montana,3
fairfield,south carolina,3
dickens,texas,3
fentress,tennessee,3
eureka,nevada,3
kerr,texas,3
huntingdon,pennsylvania,3
monroe,mississippi,3
caldwell,texas,3
cleburne,alabama,3
iowa,wisconsin,3
columbia,arkansas,3
hughes,south dakota,2
shackelford,texas,2
schleicher,texas,2
howard,arkansas,2
humphreys,mississippi,2
harrison,missouri,2
hardin,iowa,2
sevier,arkansas,2
howard,iowa,2
hardeman,tennessee,2
jackson,kansas,2
carson,texas,2
saline,nebraska,2
cedar,missouri,2
henderson,tennessee,2
heard,georgia,2
saluda,south carolina,2
holmes,ohio,2
san juan,puerto rico,2
hockley,texas,2
carroll,indiana,2
iron,wisconsin,2
hocking,ohio,2
hughes,oklahoma,2
scott,indiana,2
cavalier,north dakota,2
carroll,mississippi,2
carroll,illinois,2
washington,mississippi,2
scott,mississippi,2
scott,tennessee,2
houston,texas,2
washington,north carolina,2
carbon,montana,2
washakie,wyoming,2
hemphill,texas,2
carroll,tennessee,2
zavala,texas,2
cherry,nebraska,2
thurston,nebraska,2
teton,idaho,2
dixie,florida,2
concho,texas,2
dodge,nebraska,2
coke,texas,2
edmonson,kentucky,2
edmunds,south dakota,2
coal,oklahoma,2
valley,montana,2
ellis,oklahoma,2
talbot,georgia,2
emmet,iowa,2
emmons,north dakota,2
esmeralda,nevada,2
essex,virginia,2
fall river,south dakota,2
fallon,montana,2
falls,texas,2
vance,north carolina,2
union,south carolina,2
dekalb,tennessee,2
cheyenne,nebraska,2
cook,georgia,2
twiggs,georgia,2
cumberland,kentucky,2
crockett,texas,2
crisp,georgia,2
crenshaw,alabama,2
dade,missouri,2
trigg,kentucky,2
covington,mississippi,2
union,illinois,2
toombs,georgia,2
toole,montana,2
dawson,montana,2
cotton,oklahoma,2
titus,texas,2
tishomingo,mississippi,2
coshocton,ohio,2
tipton,indiana,2
union,new mexico,2
decatur,georgia,2
floyd,iowa,2
floyd,virginia,2
clearwater,idaho,2
clear creek,colorado,2
clarke,alabama,2
granville,north carolina,2
greeley,nebraska,2
sitka,alaska,2
greene,georgia,2
chouteau,montana,2
greene,iowa,2
simpson,mississippi,2
greenlee,arizona,2
sierra,california,2
shoshone,idaho,2
gregory,south dakota,2
chilton,alabama,2
sherman,oregon,2
childress,texas,2
ward,texas,2
guthrie,iowa,2
shelby,missouri,2
haakon,south dakota,2
clarke,iowa,2
clarke,virginia,2
southampton,virginia,2
garfield,montana,2
clayton,iowa,2
franklin,arkansas,2
stutsman,north dakota,2
fremont,idaho,2
vernon,wisconsin,2
stewart,georgia,2
gaines,texas,2
clay,kentucky,2
garfield,utah,2
golden valley,montana,2
stephens,georgia,2
starr,texas,2
wabasha,minnesota,2
gilmer,west virginia,2
stafford,kansas,2
wahkiakum,washington,2
glades,florida,2
spencer,kentucky,2
goochland,virginia,2
saint james,louisiana,2
martin,north carolina,2
mecklenburg,virginia,2
mccook,south dakota,2
barton,missouri,2
barry,missouri,2
barnes,north dakota,2
barbour,west virginia,2
mckenzie,north dakota,2
potter,pennsylvania,2
banks,georgia,2
meagher,montana,2
mercer,illinois,2
pleasants,west virginia,2
mercer,ohio,2
merrick,nebraska,2
polk,north carolina,2
mifflin,pennsylvania,2
audubon,iowa,2
attala,mississippi,2
pocahontas,west virginia,2
mingo,west virginia,2
plymouth,iowa,2
jasper,georgia,2
price,wisconsin,2
beaver,utah,2
martin,indiana,2
llano,texas,2
redwood,minnesota,2
boise,idaho,2
long,georgia,2
blaine,oklahoma,2
lucas,iowa,2
luce,michigan,2
lyon,iowa,2
lyon,minnesota,2
bienville,louisiana,2
bibb,alabama,2
macon,tennessee,2
madison,texas,2
bent,colorado,2
pulaski,indiana,2
pulaski,georgia,2
marshall,kansas,2
marshall,mississippi,2
ben hill,georgia,2
mitchell,georgia,2
platte,wyoming,2
linn,kansas,2
allen,louisiana,2
pershing,nevada,2
perry,tennessee,2
yalobusha,mississippi,2
neshoba,mississippi,2
alpine,california,2
nevada,arkansas,2
alpena,michigan,2
perquimans,north carolina,2
newton,mississippi,2
nobles,minnesota,2
woodruff,arkansas,2
pemiscot,missouri,2
north slope,alaska,2
pawnee,kansas,2
alfalfa,oklahoma,2
adams,nebraska,2
ohio,indiana,2
orleans,vermont,2
osage,oklahoma,2
yuma,colorado,2
person,north carolina,2
anderson,kentucky,2
andrews,texas,2
morrow,oregon,2
mitchell,kansas,2
woods,oklahoma,2
arthur,nebraska,2
monroe,iowa,2
pipestone,minnesota,2
monroe,kentucky,2
monroe,missouri,2
worth,iowa,2
pike,missouri,2
montmorency,michigan,2
pike,indiana,2
pike,alabama,2
moore,texas,2
morgan,tennessee,2
pickens,georgia,2
pickens,alabama,2
morrow,ohio,2
phillips,kansas,2
phillips,arkansas,2
boone,west virginia,2
crook,wyoming,2
brooks,georgia,2
leake,mississippi,2
camden,north carolina,2
lincoln,georgia,2
lexington city,virginia,2
breathitt,kentucky,2
kingsbury,south dakota,2
robertson,texas,2
kingman,kansas,2
jones,georgia,2
jones,texas,2
calhoun,arkansas,2
juniata,pennsylvania,2
lawrence,alabama,2
brookings,south dakota,2
lincoln,idaho,2
kearny,kansas,2
lewis,missouri,2
lee,south carolina,2
keya paha,nebraska,2
wayne,nebraska,2
lewis,kentucky,2
lenoir,north carolina,2
russell,alabama,2
west carroll,louisiana,2
king william,virginia,2
rio grande,puerto rico,2
west baton rouge,louisiana,2
cross,arkansas,2
wells,indiana,2
washita,oklahoma,2
saint louis city,missouri,2
lincoln,wyoming,2
jasper,south carolina,2
lagrange,indiana,2
campbell,tennessee,2
brown,south dakota,2
rooks,kansas,2
lincoln,mississippi,2
wheeler,texas,2
la salle,louisiana,2
burt,nebraska,2
wheatland,montana,2
roseau,minnesota,2
lake,south dakota,2
wharton,texas,2
wayne,utah,2
brown,kansas,2
jefferson,kansas,2
richland,north dakota,2
brown,minnesota,2
wright,iowa,1
utuado,puerto rico,1
butler,alabama,1
van buren,iowa,1
arecibo,puerto rico,1
anson,north carolina,1
concordia,louisiana,1
upson,georgia,1
coahoma,mississippi,1
valley,nebraska,1
upton,texas,1
collingsworth,texas,1
arenac,michigan,1
columbia,washington,1
appanoose,iowa,1
coffey,kansas,1
warren,illinois,1
yakutat,alaska,1
butler,iowa,1
crawford,wisconsin,1
unicoi,tennessee,1
craig,virginia,1
cameron,pennsylvania,1
alexander,illinois,1
aleutians west,alaska,1
aleutians east,alaska,1
canovanas,puerto rico,1
union,florida,1
adams,iowa,1
tyrrell,north carolina,1
young,texas,1
adams,idaho,1
adair,iowa,1
candler,georgia,1
craig,oklahoma,1
yellow medicine,minnesota,1
wyoming,west virginia,1
wayne,illinois,1
conejos,colorado,1
union,south dakota,1
butler,nebraska,1
amite,mississippi,1
buena vista city,virginia,1
wayne,iowa,1
wayne,georgia,1
union,indiana,1
washington,nebraska,1
copiah,mississippi,1
carroll,kentucky,1
watonwan,minnesota,1
alleghany,north carolina,1
union,iowa,1
arkansas,arkansas,1
webster,mississippi,1
washington,kansas,1
waller,texas,1
cimarron,oklahoma,1
benton,minnesota,1
clark,arkansas,1
benson,north dakota,1
clarke,mississippi,1
bradley,arkansas,1
bennett,south dakota,1
chase,kansas,1
charlton,georgia,1
westmoreland,virginia,1
wilson,texas,1
briscoe,texas,1
charlotte,virginia,1
beaver,oklahoma,1
clay,arkansas,1
benton,tennessee,1
wallowa,oregon,1
wade hampton,alaska,1
walthall,mississippi,1
borden,texas,1
boone,nebraska,1
bollinger,missouri,1
boundary,idaho,1
bourbon,kansas,1
bleckley,georgia,1
chickasaw,iowa,1
big horn,wyoming,1
choctaw,mississippi,1
cheyenne,colorado,1
wilbarger,texas,1
box butte,nebraska,1
chesterfield,south carolina,1
wilkinson,mississippi,1
willacy,texas,1
wadena,minnesota,1
bear lake,idaho,1
brule,south dakota,1
baker,georgia,1
washington,alabama,1
webster,west virginia,1
atoka,oklahoma,1
vega baja,puerto rico,1
washington,florida,1
vega alta,puerto rico,1
clearwater,minnesota,1
chickasaw,mississippi,1
catahoula,louisiana,1
caswell,north carolina,1
woodson,kansas,1
atkinson,georgia,1
webster,kentucky,1
arroyo,puerto rico,1
cloud,kansas,1
baca,colorado,1
cedar,iowa,1
bath,virginia,1
vernon,louisiana,1
clay,georgia,1
broadwater,montana,1
wabash,illinois,1
cedar,nebraska,1
barranquitas,puerto rico,1
clay,illinois,1
clay,kansas,1
vinton,ohio,1
waseca,minnesota,1
barber,kansas,1
wirt,west virginia,1
bamberg,south carolina,1
wolfe,kentucky,1
clay,north carolina,1
ballard,kentucky,1
cannon,tennessee,1
owen,kentucky,1
culberson,texas,1
richardson,nebraska,1
reagan,texas,1
red river,louisiana,1
little river,arkansas,1
republic,kansas,1
reynolds,missouri,1
rice,kansas,1
lincoln,minnesota,1
jim hogg,texas,1
richland,louisiana,1
lincoln,kansas,1
liberty,florida,1
lewis,west virginia,1
richmond,virginia,1
lewis,tennessee,1
logan,kansas,1
rawlins,kansas,1
love,oklahoma,1
lowndes,alabama,1
randolph,georgia,1
lyman,south dakota,1
ralls,missouri,1
mackinac,michigan,1
macon,georgia,1
macon,missouri,1
quitman,mississippi,1
madison,louisiana,1
madison,missouri,1
mahnomen,minnesota,1
marion,georgia,1
pushmataha,oklahoma,1
marion,south carolina,1
rincon,puerto rico,1
rio grande,colorado,1
lemhi,idaho,1
kinney,texas,1
johnson,nebraska,1
johnston,oklahoma,1
judith basin,montana,1
juncos,puerto rico,1
karnes,texas,1
kearney,nebraska,1
sac,iowa,1
sabine,texas,1
kent,texas,1
keokuk,iowa,1
russell,virginia,1
russell,kansas,1
king and queen,virginia,1
rush,kansas,1
kiowa,colorado,1
lee,virginia,1
kiowa,oklahoma,1
knox,nebraska,1
lafayette,arkansas,1
rolette,north dakota,1
lafayette,wisconsin,1
roger mills,oklahoma,1
lajas,puerto rico,1
lake,colorado,1
lamb,texas,1
lanier,georgia,1
lares,puerto rico,1
lavaca,texas,1
roberts,texas,1
lee,arkansas,1
marlboro,south carolina,1
prowers,colorado,1
marshall,south dakota,1
pendleton,west virginia,1
mora,new mexico,1
pierce,nebraska,1
morris,texas,1
piatt,illinois,1
phillips,colorado,1
morton,kansas,1
petroleum,montana,1
petersburg city,virginia,1
petersburg,alaska,1
nelson,north dakota,1
perry,mississippi,1
perry,alabama,1
noble,ohio,1
pennington,minnesota,1
pendleton,kentucky,1
moore,tennessee,1
northampton,virginia,1
northwest arctic,alaska,1
norton,kansas,1
norton city,virginia,1
nowata,oklahoma,1
noxubee,mississippi,1
nuckolls,nebraska,1
parmer,texas,1
ohio,kentucky,1
oldham,texas,1
orange,indiana,1
orange,virginia,1
osage,missouri,1
ouray,colorado,1
pike,arkansas,1
montour,pennsylvania,1
prince of wales hyder,alaska,1
poquoson city,virginia,1
martin,kentucky,1
prince edward,virginia,1
mason,texas,1
mathews,virginia,1
mayaguez,puerto rico,1
prairie,arkansas,1
mccreary,kentucky,1
poweshiek,iowa,1
power,idaho,1
mcdowell,west virginia,1
mcintosh,north dakota,1
mclean,kentucky,1
mcmullen,texas,1
posey,indiana,1
pope,minnesota,1
montgomery,georgia,1
meigs,tennessee,1
menominee,wisconsin,1
ponce,puerto rico,1
polk,nebraska,1
miller,georgia,1
mills,texas,1
mineral,nevada,1
mitchell,iowa,1
mitchell,texas,1
moca,puerto rico,1
monroe,alabama,1
monroe,arkansas,1
monroe,georgia,1
monroe,west virginia,1
saint francis,arkansas,1
jefferson davis,mississippi,1
turner,south dakota,1
evans,georgia,1
sullivan,pennsylvania,1
florence,wisconsin,1
fisher,texas,1
fillmore,minnesota,1
sumter,alabama,1
faribault,minnesota,1
swift,minnesota,1
jefferson,oklahoma,1
switzerland,indiana,1
emanuel,georgia,1
tallahatchie,mississippi,1
tallapoosa,alabama,1
elliott,kentucky,1
dunn,north dakota,1
fluvanna,virginia,1
sullivan,indiana,1
franklin,alabama,1
stonewall,texas,1
franklin,texas,1
stone,mississippi,1
fremont,iowa,1
frio,texas,1
fulton,arkansas,1
stevens,minnesota,1
stevens,kansas,1
garfield,nebraska,1
garfield,washington,1
steele,north dakota,1
geneva,alabama,1
gilchrist,florida,1
stark,illinois,1
drew,arkansas,1
taylor,iowa,1
dorchester,maryland,1
dawes,nebraska,1
custer,colorado,1
tunica,mississippi,1
custer,nebraska,1
tucker,west virginia,1
trujillo alto,puerto rico,1
custer,south dakota,1
trimble,kentucky,1
trego,kansas,1
traverse,minnesota,1
dallas,alabama,1
traill,north dakota,1
dallas,arkansas,1
daniels,montana,1
davis,iowa,1
dawson,texas,1
taylor,wisconsin,1
de soto,louisiana,1
de witt,texas,1
tippah,mississippi,1
decatur,iowa,1
tillman,oklahoma,1
delaware,iowa,1
delta,texas,1
denali,alaska,1
dewey,oklahoma,1
teton,wyoming,1
dickenson,virginia,1
dixon,nebraska,1
doddridge,west virginia,1
dodge,georgia,1
stanton,nebraska,1
giles,virginia,1
gilmer,georgia,1
iberville,louisiana,1
scott,virginia,1
henry,kentucky,1
